label,name,c1,c2,c3,id,val_fs,cortical,alpha
,L_FOP4_ROI,182,148,129,118,8492214,1,255
,L_MI_ROI,157,116,106,119,6976669,1,255
,L_Pir_ROI,90,66,65,120,4276826,1,255
,L_AVI_ROI,141,72,83,121,5458061,1,255
,L_AAIC_ROI,85,35,44,122,2892629,1,255
,L_FOP1_ROI,160,153,88,123,5806496,1,255
,L_FOP3_ROI,175,137,99,124,6523311,1,255
,L_FOP2_ROI,99,156,51,125,3382371,1,255
,L_PFt_ROI,129,222,134,126,8838785,1,255
,L_AIP_ROI,136,220,166,127,10935432,1,255
,L_EC_ROI,49,48,35,128,2306097,1,255
,L_PreS_ROI,86,57,83,129,5454166,1,255
,L_H_ROI,60,57,40,130,2636092,1,255
,L_ProS_ROI,87,59,176,131,11549527,1,255
,L_PeEc_ROI,61,62,51,132,3358269,1,255
,L_STGa_ROI,58,42,26,133,1714746,1,255
,L_PBelt_ROI,195,30,5,134,335555,1,255
,L_A5_ROI,99,39,6,135,403299,1,255
,L_PHA1_ROI,69,50,75,136,4928069,1,255
,L_PHA3_ROI,96,102,113,137,7431776,1,255
,L_STSda_ROI,77,51,34,138,2241357,1,255
,L_STSdp_ROI,73,57,39,139,2570569,1,255
,L_STSvp_ROI,71,59,57,140,3750727,1,255
,L_TGd_ROI,35,34,23,141,1516067,1,255
,L_TE1a_ROI,11,14,0,142,3595,1,255
,L_TE1p_ROI,96,102,94,143,6186592,1,255
,L_TE2a_ROI,67,64,58,144,3817539,1,255
,L_TF_ROI,64,72,56,145,3688512,1,255
,L_TE2p_ROI,105,128,117,146,7700585,1,255
,L_PHT_ROI,217,252,223,147,14679257,1,255
,L_PH_ROI,88,131,163,148,10715992,1,255
,L_TPOJ1_ROI,125,90,64,149,4217469,1,255
,L_TPOJ2_ROI,156,162,138,150,9085596,1,255
,L_TPOJ3_ROI,121,148,145,151,9540729,1,255
,L_DVT_ROI,120,112,190,152,12480632,1,255
,L_PGp_ROI,155,190,228,153,14991003,1,255
,L_IP2_ROI,176,166,174,154,11445936,1,255
,L_IP1_ROI,118,121,128,155,8419702,1,255
,L_IP0_ROI,112,160,207,156,13607024,1,255
,L_PFop_ROI,187,205,145,157,9555387,1,255
,L_PF_ROI,255,255,226,158,14876671,1,255
,L_PFm_ROI,133,105,114,159,7498117,1,255
,L_PGi_ROI,53,62,46,160,3030581,1,255
,L_PGs_ROI,62,67,57,161,3752766,1,255
,L_V6A_ROI,41,89,166,162,10901801,1,255
,L_VMV1_ROI,62,61,155,163,10173758,1,255
,L_VMV3_ROI,49,53,159,164,10433841,1,255
,L_PHA2_ROI,88,90,89,165,5855832,1,255
,L_V4t_ROI,14,79,128,166,8408846,1,255
,L_FST_ROI,92,157,153,167,10067292,1,255
,L_V3CD_ROI,15,46,182,168,11939343,1,255
,L_LO3_ROI,54,94,160,169,10509878,1,255
,L_VMV2_ROI,67,62,161,170,10567235,1,255
,L_31pd_ROI,56,22,45,171,2954808,1,255
,L_31a_ROI,143,105,133,172,8743311,1,255
,L_VVC_ROI,53,61,124,173,8142133,1,255
,L_25_ROI,36,24,14,174,923684,1,255
,L_s32_ROI,46,35,21,175,1385262,1,255
,L_pOFC_ROI,76,48,53,176,3485772,1,255
,L_PoI1_ROI,164,104,97,177,6383780,1,255
,L_Ig_ROI,110,123,36,178,2390894,1,255
,L_FOP5_ROI,163,102,105,179,6907555,1,255
,L_p10p_ROI,89,64,76,180,4997209,1,255
,L_p47r_ROI,126,123,112,181,7371646,1,255
,L_TGv_ROI,46,51,42,182,2765614,1,255
,L_MBelt_ROI,187,30,24,183,1580731,1,255
,L_LBelt_ROI,233,18,27,184,1774313,1,255
,L_A4_ROI,152,39,4,185,272280,1,255
,L_STSva_ROI,40,33,22,186,1450280,1,255
,L_TE1m_ROI,59,45,43,187,2829627,1,255
,L_PI_ROI,122,50,50,188,3289722,1,255
,L_a32pr_ROI,130,63,87,189,5717890,1,255
,L_p24_ROI,123,35,74,190,4858747,1,255
47,Right-Cerebellum-Cortex23014834,230,148,34,191,2266342,0,255
49,Right-Thalamus-Proper011814,0,118,14,192,947712,0,255
50,Right-Caudate122186220,122,186,220,193,14465658,0,255
51,Right-Putamen23613176,236,13,176,194,11537900,0,255
52,Right-Pallidum1348255,13,48,255,195,16723981,0,255
53,Right-Hippocampus22021620,220,216,20,196,1366236,0,255
54,Right-Amygdala103255255,103,255,255,197,16777063,0,255
58,Right-Accumbens-area2551650,255,165,0,198,42495,0,255
,???,255,255,255,199,16777215,1,255
,R_V1_ROI,62,0,255,200,16711742,1,255
,R_MST_ROI,50,112,128,201,8417330,1,255
,R_V6_ROI,67,90,180,202,11819587,1,255
,R_V2_ROI,27,56,234,203,15349787,1,255
