label,name,c1,c2,c3,id,val_fs,cortical,alpha
,G_occipital_sup,20,220,60,112,3988500,1,255
,G_oc-temp_lat-fusifor,60,20,140,113,9180220,1,255
,G_oc-temp_med-Lingual,220,180,140,114,9221340,1,255
,G_oc-temp_med-Parahip,65,100,20,115,1336385,1,255
,G_orbital,220,60,20,116,1326300,1,255
,G_pariet_inf-Angular,20,60,220,117,14433300,1,255
,G_pariet_inf-Supramar,100,100,60,118,3957860,1,255
,G_parietal_sup,220,180,220,119,14464220,1,255
,G_postcentral,20,180,140,120,9221140,1,255
,G_precentral,60,140,180,121,11832380,1,255
,G_precuneus,25,20,140,122,9180185,1,255
,G_rectus,20,60,100,123,6568980,1,255
,G_subcallosal,60,220,20,124,1367100,1,255
,G_temp_sup-G_T_transv,60,60,220,125,14433340,1,255
,G_temp_sup-Lateral,220,60,220,126,14433500,1,255
,G_temp_sup-Plan_polar,65,220,60,127,3988545,1,255
,G_temp_sup-Plan_tempo,25,140,20,128,1346585,1,255
,G_temporal_inf,220,220,100,129,6610140,1,255
,G_temporal_middle,180,60,60,130,3947700,1,255
,Lat_Fis-ant-Horizont,61,20,220,131,14423101,1,255
,Lat_Fis-ant-Vertical,61,20,60,132,3937341,1,255
,Lat_Fis-post,61,60,100,133,6569021,1,255
,Medial_wall,25,25,25,134,1644825,1,255
,Pole_occipital,140,20,60,135,3937420,1,255
,Pole_temporal,220,180,20,136,1357020,1,255
,S_calcarine,63,180,180,137,11842623,1,255
,S_central,221,20,10,138,660701,1,255
,S_cingul-Marginalis,221,20,100,139,6558941,1,255
,S_circular_insula_ant,221,60,140,140,9190621,1,255
,S_circular_insula_inf,221,20,220,141,14423261,1,255
,S_circular_insula_sup,61,220,220,142,14474301,1,255
,S_collat_transv_ant,100,200,200,143,13158500,1,255
,S_collat_transv_post,10,200,200,144,13158410,1,255
,S_front_inf,221,220,20,145,1367261,1,255
,S_front_middle,141,20,100,146,6558861,1,255
,S_front_sup,61,220,100,147,6609981,1,255
,S_interm_prim-Jensen,141,60,20,148,1326221,1,255
,S_intrapariet_and_P_trans,143,20,220,149,14423183,1,255
,S_oc_middle_and_Lunatus,101,60,220,150,14433381,1,255
,S_oc_sup_and_transversal,21,20,140,151,9180181,1,255
,S_occipital_ant,61,20,180,152,11801661,1,255
,S_oc-temp_lat,221,140,20,153,1346781,1,255
,S_oc-temp_med_and_Lingual,141,100,220,154,14443661,1,255
,S_orbital_lateral,221,100,20,155,1336541,1,255
,S_orbital_med-olfact,181,200,20,156,1362101,1,255
,S_orbital-H_Shaped,101,20,20,157,1315941,1,255
,S_parieto_occipital,101,100,180,158,11822181,1,255
,S_pericallosal,181,220,20,159,1367221,1,255
,S_postcentral,21,140,200,160,13143061,1,255
,S_precentral-inf-part,21,20,240,161,15733781,1,255
,S_precentral-sup-part,21,20,200,162,13112341,1,255
,S_suborbital,21,20,60,163,3937301,1,255
,S_subparietal,101,60,60,164,3947621,1,255
,S_temporal_inf,21,180,180,165,11842581,1,255
,S_temporal_sup,223,220,60,166,3988703,1,255
,S_temporal_transverse,221,60,60,167,3947741,1,255
