0	0	0	0	0	0
16	119	159	176	1	11575159
47	230	148	34	46	2266342
49	0	118	14	47	947712
50	122	186	220	48	14465658
51	236	13	176	49	11537900
52	13	48	255	50	16723981
53	220	216	20	51	1366236
54	103	255	255	52	16777063
58	255	165	0	53	42495
2000	25	5	25	54	1639705
2001	25	100	40	55	2647065
2002	125	100	160	56	10511485
2003	100	25	0	57	6500
2005	220	20	100	59	6558940
2006	220	20	10	60	660700
2007	180	220	140	61	9231540
2008	220	60	220	62	14433500
2009	180	40	120	63	7874740
2010	140	20	140	64	9180300
2011	20	30	140	65	9182740
2012	35	75	50	66	3296035
2013	225	140	140	67	9211105
2014	200	35	75	68	4924360
2015	160	100	50	69	3302560
2016	20	220	60	70	3988500
2017	60	220	60	71	3988540
2018	220	180	140	72	9221340
2019	20	100	50	73	3302420
2020	220	60	20	74	1326300
2021	120	100	60	75	3957880
2022	220	20	20	76	1316060
2023	220	180	220	77	14464220
2024	60	20	220	78	14423100
2025	160	140	180	79	11832480
2026	80	20	140	80	9180240
2027	75	50	125	81	8204875
2028	20	220	160	82	10542100
2029	20	180	140	83	9221140
2030	140	220	220	84	14474380
2031	80	160	20	85	1351760
2032	100	0	100	86	6553700
2033	70	70	70	87	11146310
2034	150	150	200	88	13145750
2035	255	192	32	89	2146559
