0	0	0	0	0	0
16	119	159	176	1	11575159
8	230	148	34	2	2266342
10	0	118	14	3	947712
11	122	186	220	4	14465658
12	236	13	176	5	11537900
13	12	48	255	6	16723980
17	220	216	20	7	1366236
18	103	255	255	8	16777063
26	255	165	0	9	42495
1000	25	5	25	10	1639705
1001	25	100	40	11	2647065
1002	125	100	160	12	10511485
1003	100	25	0	13	6500
1005	220	20	100	15	6558940
1006	220	20	10	16	660700
1007	180	220	140	17	9231540
1008	220	60	220	18	14433500
1009	180	40	120	19	7874740
1010	140	20	140	20	9180300
1011	20	30	140	21	9182740
1012	35	75	50	22	3296035
1013	225	140	140	23	9211105
1014	200	35	75	24	4924360
1015	160	100	50	25	3302560
1016	20	220	60	26	3988500
1017	60	220	60	27	3988540
1018	220	180	140	28	9221340
1019	20	100	50	29	3302420
1020	220	60	20	30	1326300
1021	120	100	60	31	3957880
1022	220	20	20	32	1316060
1023	220	180	220	33	14464220
1024	60	20	220	34	14423100
1025	160	140	180	35	11832480
1026	80	20	140	36	9180240
1027	75	50	125	37	8204875
1028	20	220	160	38	10542100
1029	20	180	140	39	9221140
1030	140	220	220	40	14474380
1031	80	160	20	41	1351760
1032	100	0	100	42	6553700
1033	70	70	70	43	11146310
1034	150	150	200	44	13145750
1035	255	192	32	45	2146559
